,Nb_Tweets,Nb_Positive_Tweets,Nb_Negative_Tweets,nb_Neutral_Tweets,text,Sentiment_Score,Party,Name,Category
2016-05-01,1,0,1,0,['even remain wins hampered economy v gd cameron amp osborne failure'],-0.00833333333333336,Labour,Alison McGovern,General
2016-05-01,1,0,0,1,['perceptive presidential election expect future uk will key vote'],0.0,Conservative,Alok Sharma,General
2016-05-01,1,0,0,1,['cllrbsilvester unless eu takes seat draw attention gem treaty'],0.0,Conservative,Andrew Rosindell,General
2016-05-01,1,1,0,0,['andrewselous strong uk tech economy really benefits eu'],0.31666666666666665,Conservative,Andrew Selous,General
2016-05-01,1,1,0,0,['great hear hammersmithandy tonight kensingtonclp school room giant french flags'],0.26666666666666666,Labour,Andy Slaughter,General
2016-05-01,2,1,0,1,"['great article angelaeagle lack women voices debate time change', 'angelaeagle turns silence conservative back benches']",0.4,Labour,Angela Eagle,General
2016-05-01,2,1,0,1,"['okay talk facts will want nhs exempt ttip simple question', 'soubry big via guidofawkes thoroughly underwhelming']",0.16666666666666666,Conservative,Anna Soubry,General
2016-05-01,1,1,0,0,['excellent debate potters bar colleague robertbuckland fantastic qs audience many voices'],0.6333333333333333,Conservative,Anne-Marie Trevelyan,General
2016-05-01,1,1,0,0,['barrygardiner pupils noam primary school debating speaker house today will decide'],0.4,Labour,Barry Gardiner,General
2016-05-01,4,2,0,2,"['south west podcast will benpbradshaw amp jlongworthvl answering qs members', 'door electoralcommuk today vote leave facts untrue', 'bumbling boris day blunders south west excellent benpbradshaw', 'good debate nothing benpbradshaw embarrassing']",0.85,Labour,Ben Bradshaw,General
2016-05-01,4,2,2,0,"['awkward question bernardjenkin asks purdah period', 'brilliant question bernardjenkin telling stop scaremongering', 'today urgent q bernardjenkin mp uk economy result expected approx', 'today urgent q bernardjenkin mp uk economy result starting now watch live']",0.06727272727272729,Conservative,Bernard Jenkin,General
2016-05-01,34,20,2,12,"['pearcemelodies zulubus borisjohnson well want super rich', 'gobbledygook will confuse elderly amp young jwhittingdale borisjohnson', 'borisjohnson given free ride skynews throwing slogans personal challenges colinbraziersky', 'astonishing within two months borisjohnson gone mayor london demagogic populist threat society', 'lies borisjohnson co regarding per week exposed', 'set scene watching video borisjohnson discussing leave eu', 'borisjohnson boris speak house many armed service personnel will prevented voting please', 'ominousity anxious eu need exports amp britain contribution uk needs', 'another bonker claim borisjohnson trust claims', 'doorstep italian problem good effort borisjohnson addressing international audience', 'fantastically ironic commentary borisjohnson bluster', 'idiotic offensive ridiculous nonsense borisjohnson strongerinpress', 'borisjohnson learn history bound relive', 'thoughtful carefully crafted analysis borisjohnson eu hitler shows danger clever fool', 'borisjohnson wisest comments re hitler eu lost plot change happens better within', 'danhannanmep borisjohnson view new zealand sane tories amp uklabourin strongerin', 'macclabour borisjohnson oh go boris entitled go frm abt policy abt free eu dictat', 'year old son listening borisjohnson hear blah blah blah blah', 'wondering borisjohnson pulling facts big clue', 'fresh morning remain speech benglaze now borisjohnson speech campaign getting busy', 'glinner imagine sketch similar romans done us mplob borisjohnson', 'borisjohnson top quality boys', 'compelling reason remain eu preventing borisjohnson becoming pm', 'twitter poll votes remain eu borisjohnson', 'borisjohnson took salvo misinformation leaflets enemy heeelp', 'moment heseltine will go questioning borisjohnson judgement questioning soundness', 'gem line borisjohnson biggest stitch bayeux tapestry never boring around', 'new claim borisjohnson brexit will cure cancer put englishman mars', 'borisjohnson re', 'thought borisjohnson', 'come itv let borisjohnson debating public interested hearing', 'myttin da weeks go hear sides including borisjohnson today programme', 'excellent speech borisjohnson', 'pretty disgraceful borisjohnson contrary shows far come']",0.20993506493506495,Conservative,Boris Johnson,General
2016-05-01,1,0,0,1,['will talking labour carolineflintmp voting'],0.0,Labour,Caroline Flint,General
2016-05-01,8,4,1,3,"['rt carolinelucas brilliant see arguments sides will voting remain', 'carolinelucas lying tariffs iceland turkey fibbing', 'statement stay nicolasturgeon carolinelucas amp leannewood', 'strongerinpress nicolasturgeon carolinelucas leannewood positive case doom gloom', 'live tweeting hour debate carolinelucas commonsleader hilarybennmp amp nicholaswatt', 'carolinelucas simple changes uk govt make eu far accountable', 'statement stay nicolasturgeon carolinelucas amp leannewood', 'wonder people trust politicians blatant untruths coming campaign pennymordauntmp']",0.10432900432900435,Green  of England and Wales,Caroline Lucas,General
2016-05-01,2,0,1,1,"['foreignoffice qs qs chionwurah amp human rights acarmichaelmp', 'britain will gain digital single market leave now chionwurah nestrongerin']",-0.023809523809523808,Labour,Chi Onwurah,General
2016-05-01,3,0,1,2,"['vote x chris june u already know previous tweet s', 'every century seen wars loss human life europe eu helps keep happening rhonddabryant strongerin', 'june needs take back control rsvp']",-0.05555555555555555,Labour,Chris Bryant,General
2016-05-01,1,1,0,0,['really good reasoned high quality debate sides tonight unfortunately wo see anything telly'],0.12,Conservative,Chris Heaton-Harris,General
2016-05-01,1,0,1,0,['fatherly advice helpful now david oliver mundell votes thesnp tory party ill divided'],-0.5,Scottish National,Chris Law,General
2016-05-01,1,1,0,0,['delighted copy wee bleu book alynsmithmep today looking forward making case'],0.7,Scottish National,Chris Stephens,General
2016-05-01,10,6,0,4,"['got question chukaumunna stronger send via amp watch bbcnews channel bst', 'debate coming market annaefoster hosting amp chukaumunna championing strongerin', 'debate live brixton market guys', 'debating live brixton market along voteleave jamescleverly', 'important timely message jeremycorbyn young voters registering vote', 'will debating lbc nickferrarilbc today', 'excellent speech chukaumunna details pro speech found', 'read chukaumunna ethnic minority britons benefit membership', 'excellent speech chukaumunna details pro speech found', 'don t back gain much membership chukaumunna']",0.3715909090909091,Labour,Chuka Umunna,General
2016-05-01,3,0,0,3,"['problem switched campaign fear belittled debate', 'highlights recent event argued hurt local employers https', 'damiancollins wasting money nato eu saving us conflict']",0.0,Conservative,Damian Collins,General
2016-05-01,1,0,0,1,['taking part debate petersfield june chaired bbcpeterh details tickets'],0.0,Conservative,Damian Hinds,General
2016-05-01,1,1,0,0,['great parliamentary insight views liliangreenwood'],0.8,Scottish National,Danielle Rowley,General
2016-05-01,3,3,0,0,"['good sensible arguments eu membership daviddavismp steve hilton', 'doubt pl read economic case daviddavismp ty thoughtful persuasive imo', 'social benefits eu go back learn disraeli shaftesbury lloyd george daviddavismp']",0.26666666666666666,Conservative,David Davis,General
2016-05-01,1,1,0,0,['dlidington britain france germany shaped eu better confident led front'],0.5,Conservative,David Lidington,General
2016-05-01,1,0,0,1,['statement davidmundelldct olivermundell decision back'],0.0,Conservative,David Mundell,General
2016-05-01,1,1,0,0,['many go red tape morning might interest'],0.25,Conservative,David T. C. Davies,General
