,Nb_Tweets,Nb_Positive_Tweets,Nb_Negative_Tweets,nb_Neutral_Tweets,text,Sentiment_Score,Party,Name,Category
2016-05-01,1,1,0,0,['housing minister wont calculate many homes need eu migration andreajenkyns'],0.5,Conservative,Andrea Jenkyns,Leave EU
2016-05-01,7,4,1,2,"['year eu keeps money every year way scrap vat fuel https', 'ivoteleave andrealeadsom stupid argument coming minority supporters majority sensible', 'brilliant andrealeadsom uk will future side', 'expats sent home uk residents eu scaremongering remain https', 'live streaming andrealeadsom speech fb page', 'excellent andrealeadsom marrshow morning city trade economy', 'live streaming andrealeadsom speech fb page']",0.22878787878787876,Conservative,Andrea Leadsom,Leave EU
2016-05-01,3,1,1,1,"['anyone living uk heritage please see disgraceful leaflet campaign', 'jamescleverly borisjohnson disgrace desperate stuff failing campaign', 'followers one good reason vote plenty vote though']",0.04999999999999999,Conservative,Andrew Rosindell,Leave EU
2016-05-01,1,0,0,1,['forget eu need agreement states nothing guaranteed eu'],0.0,Labour,Angela Eagle,Leave EU
2016-05-01,1,0,0,1,['audience remain voters wait hear co'],0.0,Conservative,Anna Soubry,Leave EU
2016-05-01,1,1,0,0,['great article bernardjenkin mp eu taking defence policy stealth'],0.8,Conservative,Bernard Jenkin,Leave EU
2016-05-01,2,0,0,2,"['ifs received eu independent organisation', 'former head sir richard dearlove says security gains leaving eu']",0.0,Conservative,Bob Blackman,Leave EU
2016-05-01,36,11,8,17,"['vote leave ahead several polls leave will win said start borisjohnson', 'sadiq cameron teamed duo hell zacgoldsmith borisjohnson', 'borisjohnson everybody understands need ensure security eu system takes away power people', 'borisjohnson one side argument argue detach working europe', 'dishonest political broadcast u believe borisjohnson gove spend money must crackers', 'lies vote compaign hilarious borisjohnson', 'audience anything go borisjohnson gone hero total zero space couple weeks', 'borisjohnson said nothing idiotic hitler running away week', 'stop germans buying london stock exchange borisjohnson english finances hold us ransom', 'borisjohnson took salvo misinformation leaflets enemy heeelp', 'much passion fab borisjohnson consforbritain today stafford', 'favourite quote borisjohnson today biggest bayeux tapestry cameron alleged deception', 'two books learned brexit scholars worse bj want scary borisjohnson', 'surprised pleased see name million miles space borisjohnson pestononsunday twitter galaxy map', 'informative speech borisjohnson today thanks words', 'borisjohnson coach', 'snapshots launch borisjohnson cornish pasty press pack red corduroy trousers', 'good morning cornwall going borisjohnson bus', 'jamescleverly borisjohnson disgrace desperate stuff failing campaign', 'samcam dad making millions money meant poor farmers nottheninemuses borisjohnson', 'sadiq cameron teamed duo hell zacgoldsmith borisjohnson', 'borisjohnson local mp literally flooded posters message doors', 'borisjohnson adding population size oxford uk every year eu migration', 'borisjohnson really need step game team need commitment passion leader', 'hey borisjohnson back now ny now https', 'borisjohnson hear bj talknig fat cats hedge fund mates stand gain leave', 'wow spencer jackson heroes fitness store supports', 'borisjohnson please address concerns voters', 'will borisjohnson come clean many will hedge fund mates will gain brexit https', 'great speech fm borisjohnson sort arguments want hear scare stories positive future', 'borisjohnson say cameron got nothing renegotiations eu said lol', 'causes autism children tomorrow sensationalist headline campaign borisjohnson', 'borisjohnson michaelgove save us pls staying desperate', 'cam trying rig eu ref excluding gove debates altho chosen lead borisjohnson', 'good argument borisjohnson mp talked human cost economic', 'cameron trying rig eu ref excluding gove debates altho chosen leave borisjohnson']",0.08609625668449199,Conservative,Boris Johnson,Leave EU
2016-05-01,1,0,0,1,['carolinelucas lying tariffs iceland turkey therefore fibbing'],0.0,Green  of England and Wales,Caroline Lucas,Leave EU
2016-05-01,2,0,1,1,"['uniofoxford receives hundreds millions pounds eu hardly neutral', 'dear chukaumunna buy chocolate cadbury hopefully leave eu production will return poland uk']",-0.2916666666666667,Labour,Chuka Umunna,Leave EU
2016-05-01,1,1,0,0,['evidence unelected elite far popular concerns opening door xenophobic parties'],0.35,Labour,Daniel Zeichner,Leave EU
2016-05-01,2,1,1,0,"['bogus badly trade negotiations exercises mutual self interest daviddavismp', 'brilliant reply daviddavismp last night passion https']",0.06666666666666672,Conservative,David Davis,Leave EU
2016-05-01,1,0,1,0,['malmstromeuwonky thinking confusing offer services somehow forced svcs'],-0.30000000000000004,Conservative,David Lidington,Leave EU
2016-05-01,1,0,1,0,['will wait bated breath hol france sun will back time love europe hate eu'],-0.10000000000000002,Liberal Democrats,Dr Phillip Lee,Leave EU
2016-05-01,3,2,0,1,"['young people britain need take future back hands away eu bureaucrats', 'going shout louder uklabour backbenches', 'cat asleep instead listening case nearly']",0.05,Labour,Edward Miliband,Leave EU
2016-05-01,2,0,0,2,"['nonsense harrietharman will raise food prices eu wo put tariffs exports', 'maybe harrietharman considering retiring red socialist back qc']",0.0,Labour,Harriet Harman QC,Leave EU
2016-05-01,1,1,0,0,['exactly really upbeat comments real people real jobs want best families https'],0.4,Conservative,Heather Wheeler,Leave EU
2016-05-01,1,0,0,1,['stay eu insult died saving us central governed eu'],0.0,Labour,Hilary Benn,Leave EU
2016-05-01,2,0,1,1,"['argument within liberated uk benefit williamgallus jamescleverly victorialive', 'jamescleverly borisjohnson disgrace desperate stuff failing campaign']",-0.6,Conservative,James Cleverly,Leave EU
2016-05-01,7,2,1,4,"['jeremycorbyn said wanted leave eu supports big business protect working people tyranny', 'message former uklabour voter jeremycorbyn', 'jeremycorbyn weeks ago many apart benn today', 'johnmcdonnellmp keep ttip harming nhs ttip whatever eu says goes', 'lies majority tory mps well jeremycorbyn want https', 'racingdaily secrecy polling booth believe jeremycorbyn will far socialist', 'jeremycorbyn pestononsunday arguing sad one biggest lab']",0.019999999999999997,Labour,Jeremy Corbyn,Leave EU
2016-05-01,2,0,0,2,"['johnmcdonnellmp keep ttip harming nhs ttip whatever eu says goes', 'coming loony leftie treacherous labour party']",0.0,Labour,John McDonnell,Leave EU
