,text,id,retweets,favorites,hashtags,geo,permalink,Name,Party,Polarity
2016-09,"['uk', 'stays', 'eu', 'benefit', 'trade', 'deal', 'australia', 'faster', 'leave', 'nonsense', 'adamafriyie']",773444404510089216,0,0,#brexit,,https://twitter.com/ianamckenzie/status/773444404510089216,Adam Afriyie,Conservative,0.0
2017-04,"['great', 'panel', 'discussion', 'lwintermeyer', 'ruthhandcock', 'adamafriyie', 'lynseybarber', 'debating', 'impact', 'uk', 'ciceroglobal']",856799866177159168,4,8,#Brexit #Fintech,,https://twitter.com/Ryan_EP/status/856799866177159168,Adam Afriyie,Conservative,0.8
2018-06,"['expressing', 'disbelief', 'stupidity', 'government', 'proceeding', 'course', 'despite', 'evidence', 'many', 'others', 'feel', 'please', 'experiment', 'try', 'looking', 'point', 'view']",1011996006412677122,0,3,#Brexit,,https://twitter.com/hopefulfutility/status/1011996006412677122,Adam Afriyie,Conservative,-0.04999999999999999
2018-06,"['saving', 'countryside', 'people', 'dangerous', 'levels', 'pollution', 'vital', 'adamafriyie', 'will', 'protect', 'environmental', 'standards', 'vote']",1006146243402387456,0,3,#Brexit #EUWithdrawalBill,,https://twitter.com/HannahScottyy/status/1006146243402387456,Adam Afriyie,Conservative,-0.25
2018-06,"['adamafriyie', 'concerned', 'constituent', 'small', 'business', 'owner', 'receive', 'equivalent', 'impact', 'assessment', 'tory', 'government', 'ardently', 'support']",1003356350859051010,0,1,#brexit #maybot,,https://twitter.com/ianamckenzie/status/1003356350859051010,Adam Afriyie,Conservative,-0.25
2018-10,"['shocked', 'reading', 'bio', 'find', 'conservatives', 'minister', 'adamafriyie', 'amp', 'shocking', 'unaccountable', 'pls', 'rt', 'original', 'tweet', 'mollymep']",1049198432966127621,1,0,#government #Brexit,,https://twitter.com/PrimeNumero/status/1049198432966127621,Adam Afriyie,Conservative,-0.44166666666666665
2018-10,"['much', 'foreign', 'aid', 'planning', 'give', 'guinea', 'plenty', 'eu', 'better', 'trade', 'deal', 'uk']",1048939044078608384,0,0,#PeoplesVote #Brexit,,https://twitter.com/MattScript/status/1048939044078608384,Adam Afriyie,Conservative,0.1875
2018-12,"['leaked', 'footage', 'within', 'downing', 'adamafriyie', 'alanduncanmp', 'alanmakmp', 'albertocostamp', 'alecshelbrooke', 'alexburghart', 'alexchalkchelt', 'alistairburtuk']",1073918299841404929,0,0,#Brexit #BrexitBetrayal #LeaveMeansLeave #Remain #EURef #CONSERVATIVES #libdems #SNP #LabourParty #DUP,,https://twitter.com/YeOldeGrumpy/status/1073918299841404929,Adam Afriyie,Conservative,0.0
2019-03,"['block', 'uk', 's', 'departure', 'lead', 'marxist', 'government', 'good', 'week', 'office', 'stevebakerhw', 'suellabraverman', 'andreajenkyns', 'bernardjenkin', 'samgyimah', 'jojohnsonuk', 'marcusfysh', 'julialopezmp', 'andrewrosindell', 'adamafriyie']",1112239465626562560,0,0,#EU #corbyn #brexit #WithdrawalAgreement,,https://twitter.com/robdavidson74/status/1112239465626562560,Adam Afriyie,Conservative,0.7
2019-03,"['guessed', 'perhaps', 'right', 'first', 'time', 'way', 'carrying', 'now', 'ruse', 'keep', 'uk', 'eu', 'sure', 'may', 'merkel', 'sure', 'know', 'de', 'facto', 'head', 'eu', 'regardless', 'rumbled', 'backstop', 'binned', 'hurrah']",1112229028398800896,0,0,#Brexit,,https://twitter.com/liz727/status/1112229028398800896,Adam Afriyie,Conservative,0.3839285714285714
