,text,id,retweets,favorites,hashtags,geo,permalink,Name,Party,Polarity
2017-03,"['fake', 'news', 'delusional', 'voters', 'adamafriyie', 'https']",847824866556481536,0,0,#brexitland #leave,,https://twitter.com/ianamckenzie/status/847824866556481536,Adam Afriyie,Conservative,-0.5
2019-05,"['coming', 'someone', 'trying', 'deny', 'promised', 'cameron', 'sm', 'cu', 'voted', 'hypocrisy', 'worst']",1127691149307674624,27,145,#Brexit #Leave,,https://twitter.com/richardcalhoun/status/1127691149307674624,Alan Duncan,Conservative,-1.0
2019-02,"['albertocostamp', 'amendment', 'rescue', 'part', 'withdrawal', 'agreement', 'matter', 'outcome', 'gets', 'wide', 'support', 'mps', 'parties', 'writes', 'nicolashatton', 'https', 'via', 'pmpmagtoday']",1099979102092693504,0,3,#CitizensRights #Brexit #Leave #Remain,,https://twitter.com/ldrscke/status/1099979102092693504,Alberto Costa,Conservative,-0.1
2019-02,"['albertocostamp', 'amendment', 'rescue', 'part', 'withdrawal', 'agreement', 'matter', 'outcome', 'gets', 'wide', 'support', 'mps', 'parties', 'writes', 'nicolashatton', 'https', 'via', 'pmpmagtoday']",1100827839329460224,2,1,#CitizensRights #Brexit #Leave #Remain,,https://twitter.com/PMPmagToday/status/1100827839329460224,Alberto Costa,Conservative,-0.1
2019-02,"['albertocostamp', 'amendment', 'rescue', 'part', 'withdrawal', 'agreement', 'matter', 'outcome', 'gets', 'wide', 'support', 'mps', 'parties', 'writes', 'nicolashatton', 'https', 'via', 'pmpmagtoday']",1099273251166085121,2,3,#CitizensRights #Brexit #Leave #Remain,,https://twitter.com/PMPmagToday/status/1099273251166085121,Alberto Costa,Conservative,-0.1
2019-02,"['albertocostamp', 'amendment', 'rescue', 'part', 'withdrawal', 'agreement', 'matter', 'outcome', 'gets', 'wide', 'support', 'mps', 'parties', 'writes', 'nicolashatton', 'https', 'via', 'pmpmagtoday']",1098879832014888960,2,0,#CitizensRights #Brexit #Leave #Remain,,https://twitter.com/PMPmagToday/status/1098879832014888960,Alberto Costa,Conservative,-0.1
2019-09,"['quasinazi', 'tv', 'says', 'new', 'great', 'economy', 'changed', 'points', 'brexit', 'happened', 'now']",1169864438620405760,1,2,#ForTheMany #Bojo #Trump #Tories #BrexitParty #Brexit #remain #NoDealBrexit #leave #UK #GE2019 #Twitter #bbc #c4news #trendingpic,,https://twitter.com/adiskype/status/1169864438620405760,Alok Sharma,Conservative,0.4681818181818182
2017-12,"['letter', 'local', 'tory', 'mp', 'saying', 'means', 'obliged', 'surely', 'close', 'result', 'requires', 'consensus', 'aluncairns']",944853522260119552,0,0,#Leave #hardbrexit #softbrexit #brexitshambles,,https://twitter.com/jake_write/status/944853522260119552,Alun Cairns,Conservative,0.25
2018-11,"['re', 'denial', 'real', 'reasons', 'behind', 'don', 't', 'want', 'research', 'trades', 'people', 'family', 'switched', 'plumber', 'heating', 'engineer', 'tiler', 'fitter', 'felt', 'lied', 'understand', 'impact']",1062314721368522753,14,20,#Brexit #Leave #Remain,,https://twitter.com/ValeforEurope/status/1062314721368522753,Alun Cairns,Conservative,-0.1
2019-08,"['outstanding', 'work', 'valeforeurope', 'team', 'terrible', 'weather', 'conclusive', 'imo', 'remember', 'voting', 'place', 'results', 'back', 'year', 'ago', 'actually', 'confirm', 'now']",1160183893854740480,12,26,#Barry #Leave #Wales #Remain,,https://twitter.com/hamishjohnhenry/status/1160183893854740480,Alun Cairns,Conservative,-0.125
2017-05,"['avoidance', 'doubt', 'definition', 'https', 'abandon', 'cease', 'attending', 'amberruddhr', 'oed']",869120035477999616,2,1,#leave #nobrexithttps,,https://twitter.com/ThreeWomen_/status/869120035477999616,Amber Rudd,Conservative,0.0
2018-02,"['add', 'list', 'succeeded', 'man', 'world', 'now', 'treading', 'fine', 'line', 'achieve', 'protect', 'jeremycorbyn', 'extreme', 'left', 'must', 'core', 'steel']",966952097198440448,0,1,#Leave #Remain #Brexit #UK,,https://twitter.com/foxesdale/status/966952097198440448,Amber Rudd,Conservative,0.09722222222222222
2018-04,"['sad', 'amberruddhr', 'resigned', 'great', 'opportunity', 'pm', 'promote', 'mp', 'change', 'tone', 'reassure', 'voters', 'bumpy', 'weeks']",990704956868087809,0,3,#HomeOffice #Brexit #leave,,https://twitter.com/AlasdairIS/status/990704956868087809,Amber Rudd,Conservative,0.15000000000000002
2018-04,"['government', 'policy', 'customs', 'union', 'will', 'left', 'amberruddhr', 'feels', 'support', 'government', 'policy', 'resign', 'cabinet']",989620406528200707,0,3,#Leave #EU #Remain #EU #Kill2BirdsWithOneStone,,https://twitter.com/DouglasUnwin/status/989620406528200707,Amber Rudd,Conservative,0.0
2018-04,"['infects', 'every', 'issue', 'calls', 'go', 'calls', 'scalp', 'amberruddhr', 'government', 'priority', 'now', 'regularise', 'reassure', 'game', 'help']",987268480583045120,0,0,#Brexit #Remain #Leave #WindrushGenerarion,,https://twitter.com/foxesdale/status/987268480583045120,Amber Rudd,Conservative,-0.4
2018-10,"['utter', 'nonsense', 'amberruddhr', 'knows', 'full', 'well', 'never', 'outcome', 'binary', 'choice', 'satisfies', 'majority', 'chose', 'must', 'delivered']",1051869562692624386,5,54,#Leave #Remain #Leave #Brexit,,https://twitter.com/SomersetBlue/status/1051869562692624386,Amber Rudd,Conservative,0.175
2018-12,"['amberruddhr', 'stop', 'phoneys', 'sending', 'shit', 'voted']",1076466066812006400,0,0,#Leave #LeaveMeansLeave,,https://twitter.com/Yatesy4715/status/1076466066812006400,Amber Rudd,Conservative,-0.2
2018-12,"['provide', 'reputable', 'economic', 'study', 'excl', 'patrick', 'minford', 'shows', 'plan', 'will', 'deliver', 'exact', 'benefits', 'promise', 'nhs', 'isn', 't', 'coming', 'savings', 'aren', 't', 'see', 'https']",1075820195992752128,0,0,#leave #brexit #FactsMatter,,https://twitter.com/KLawrencece62/status/1075820195992752128,Amber Rudd,Conservative,0.31666666666666665
2018-12,"['parliament', 'delegated', 'constitutional', 'issue', 'uk', 'people', 'power', 'derives', 'votes', 'million', 'majority', 'people', 'voted', 'parliaments', 'sole', 'role', 'now', 'implement', 'yr', 'spiv', 'brother', 'trying', 'subvert']",1075651110726176768,1,5,#leave #PeoplesVote,,https://twitter.com/Alexblx/status/1075651110726176768,Amber Rudd,Conservative,0.0
2018-12,"['fuck', 'libdem', 'amberruddhr', 'even', 'although', 'marginal', 'coastal', 'community', 'constituency', 'great', 'benefit', 'uk', 'taking', 'back', 'control', 'fishing', 'waters', 'rudd', 'done', 'everything', 'possible', 'subvert', 'invalidate', 'votes', 'million', 'voters']",1073869974450724865,0,6,#Brexit #leave,,https://twitter.com/Alexblx/status/1073869974450724865,Amber Rudd,Conservative,0.1
2019-01,"['hopes', 'general', 'election', 'held', 'accountable', 'wasting', 'money', 'undemocratic', 'destructive', 'disgrace', 'rational', 'mps', 'come', 'together', 'parties', 'protect', 'ensure']",1080172924659748864,0,2,#TheresaMay #Leave #DUP #NoDeal #GFA #Remainpic,,https://twitter.com/DalbidEU/status/1080172924659748864,Amber Rudd,Conservative,-0.27499999999999997
2019-02,"['love', 'call', 'likes', 'amberruddhr', 'co', 'along', 'many', 'remainer', 'mps', 'tories', 'labour', 'throughout', 'country', 'toast', 'might', 'parliament', 'reflects', 'better', 'tory', 'labour', 'constituencies']",1100440489101221888,0,0,#GE #ThreeAmigos #TIG #Grieve #leave,,https://twitter.com/PeteJacksonGMP/status/1100440489101221888,Amber Rudd,Conservative,0.5
2019-02,"['peril', 'forget', 'polls', 'real', 'danger', 'win', 'despite', 'efforts', 'grass', 'root', 'still', 'coordinated', 'plan', 'leadership', 'top', 'crying', 'sadly', 'lessons', 'learned']",1094552062413733888,0,3,#PeoplesVote #Leave #Remainers #Remainpic,,https://twitter.com/DalbidEU/status/1094552062413733888,Amber Rudd,Conservative,0.16
2019-03,"['need', 'bloody', 'well', 'need', 'traitorous', 'remainer', 'clap', 'trap', 'taking', 'away', 'already', 'hopeless', 'negotiators', 'please', 'resign']",1101934735348195329,0,0,#leave #NoDeal,,https://twitter.com/charliecroker67/status/1101934735348195329,Amber Rudd,Conservative,-0.8
2019-04,"['deluded', 'journalism', 'gets', 'plaudits', 'unheard', 'unrepresented', 'left', 'behind', 'disconnected', 'majority', 'will', 'never', 'support', 'excluded', 'democracy', 'offensive', 'elite', 'eu', 'narrative']",1114581643149348869,0,0,#remain #brexit #leave #wtobrexit,,https://twitter.com/iantighe/status/1114581643149348869,Amber Rudd,Conservative,-0.2
2019-06,"['convinced', 'backing', 'amberruddhr', 'pennymordaunt', 'will', 'actually', 'win', 'much', 'support', 'mps', 'voters']",1138125502236041217,0,0,#JeremyHunt #Leave #Brexit,,https://twitter.com/neilwallis1/status/1138125502236041217,Amber Rudd,Conservative,0.5
