,text,id,retweets,favorites,hashtags,geo,permalink,Name,Party,Polarity
2018-12,"['leaked', 'footage', 'within', 'downing', 'adamafriyie', 'alanduncanmp', 'alanmakmp', 'albertocostamp', 'alecshelbrooke', 'alexburghart', 'alexchalkchelt', 'alistairburtuk']",1073918299841404929,0,0,#Brexit #BrexitBetrayal #LeaveMeansLeave #Remain #EURef #CONSERVATIVES #libdems #SNP #LabourParty #DUP,,https://twitter.com/YeOldeGrumpy/status/1073918299841404929,Adam Afriyie,Conservative,0.0
2019-03,"['puppets', 'may', 'cameron', 'reduced', 'uk', 'mess', 'years', 'stability', 'will', 'one', 'minute', 'rest', 'millions', 'rational', 'uk', 'voices', 'enjoy', 'catfight', 'tories', 'realise', 'won', 't', 'leader']",1111301605876531200,6,8,#ERG #Remain #Return,,https://twitter.com/DalbidEU/status/1111301605876531200,Adam Afriyie,Conservative,0.11250000000000002
2019-03,"['mean', 'doorstep', 'bothered', 'hold', 'constituent', 'surgeries', 'reply', 'find', 'majority', 'windsor', 'voted', 'favor', 'staying', 'eu', 'views', 'totally', 'step', 'windsor', 'deserves', 'better', 'mp']",1107011551540772864,1,2,#Remain,,https://twitter.com/Stevie_Lowe/status/1107011551540772864,Adam Afriyie,Conservative,0.0625
2019-04,"['parliament', 'distant', 'people', 'imply', 'mps', 'communicate', 'constituents', 'follow', 'mood', 'country', 'learn', 'impact', 'brexit', 'please', 'clarify', 'worth', 'remembering', 'constituencies', 'voted']",1112822995062571011,1,10,#WindsorandMaidenhead #Remain,,https://twitter.com/Alheri/status/1112822995062571011,Adam Afriyie,Conservative,0.09999999999999999
2019-09,"['adamafriyie', 'brexiteer', 'mp', 'constituency', 'continues', 'ignore', 'voters', 'piece', 'wrote', 'slough', 'express', 'windsorforeu']",1170766615165788162,0,2,#Remain,,https://twitter.com/vicksbrowne/status/1170766615165788162,Adam Afriyie,Conservative,0.0
2018-11,"['liars', 'finally', 'uncovered', 'things', 'warming', 'fella', 'now', 'traitorous', 'fifth', 'columnist', 'cockroaches', 'open', 'will', 'easy', 'now', 'deal', 'say', 'nodeal', 'rules', 'inevitable', 'beginning']",1063113370335920134,1,4,#remain #BRexit #WTO,,https://twitter.com/RichardKing633/status/1063113370335920134,Alan Duncan,Conservative,0.10833333333333334
2018-12,"['leaked', 'footage', 'within', 'downing', 'adamafriyie', 'alanduncanmp', 'alanmakmp', 'albertocostamp', 'alecshelbrooke', 'alexburghart', 'alexchalkchelt', 'alistairburtuk']",1073918299841404929,0,0,#Brexit #BrexitBetrayal #LeaveMeansLeave #Remain #EURef #CONSERVATIVES #libdems #SNP #LabourParty #DUP,,https://twitter.com/YeOldeGrumpy/status/1073918299841404929,Alan Duncan,Conservative,0.0
2019-07,"['sound', 'bad', 'thing', 'good', 'start', 'bercow', 'refused', 'drama', 'drama', 'queens', 'philiphammonduk', 'rorystewartuk', 'amberruddhr', 'alanduncanmp', 'conservativeshttps']",1153433817400717320,0,0,#Remain,,https://twitter.com/RygbiAmByth/status/1153433817400717320,Alan Duncan,Conservative,0.1333333333333334
2019-07,"['don', 't', 'forget', 'resign', 'conservatives', 'well', 've', 'enough', 'dressing', 'trying', 'thwart', 'british', 'voters', 'mandate', 'goodbye', 'lot', 'hello', 'watching', 'waiting']",1153246013223817216,16,49,#remain #BRexit #LeaveEU #BRexit,,https://twitter.com/RichardKing633/status/1153246013223817216,Alan Duncan,Conservative,0.0
2019-08,"['um', 'story', 'based', 'ttip', 'eu', 'will', 'apply', 'gain', 'free', 'trade', 'deal', 'usa', 'americans', 'will', 'able', 'tell', 'melton', 'mowbray', 'pies', 'local', 'ones', 'ttip', 'https']",1165914654733996032,1,4,#Remain,,https://twitter.com/stephen501/status/1165914654733996032,Alan Duncan,Conservative,0.3
2019-10,"['another', 'rat', 'abandoning', 'ship', 'time', 'guise', 'alanduncanmp', 'wonder', 'standing', 'mps', 'wimping', 'electorate', 'many', 'now']",1189573676565487616,1,1,#Remain,,https://twitter.com/LMY746/status/1189573676565487616,Alan Duncan,Conservative,0.5
