,Nb_Tweets,Nb_Positive_Tweets,Nb_Negative_Tweets,nb_Neutral_Tweets,text,Sentiment_Score,Party,Name,Category
2016-05-01,1,0,0,1,['response community message'],0.0,Conservative,Alok Sharma,Stay in EU
2016-05-01,2,1,0,1,"['andreajenkyns misusing wsc speeches conflagrating quotes julius caesar romeo juliet', 'housing minister wont calculate many homes need eu migration andreajenkyns']",0.5,Conservative,Andrea Jenkyns,Stay in EU
2016-05-01,1,1,0,0,['away employment law says andrealeadsom chukaumunna knows much'],0.2,Conservative,Andrea Leadsom,Stay in EU
2016-05-01,2,2,0,0,"['followers one good reason vote plenty vote though', 'finally well considered powerful argument mob']",0.3333333333333333,Conservative,Andrew Rosindell,Stay in EU
2016-05-01,1,0,0,1,['andrewselous conservativesin risk economy jobs reducing deficit walk away eu'],0.0,Conservative,Andrew Selous,Stay in EU
2016-05-01,1,1,0,0,['superb advocacy hilarybennmp support debate'],1.0,Labour,Andy Slaughter,Stay in EU
2016-05-01,2,1,0,1,"['women need seen need heard strong call action angelaeagle', 'visiting hyde morning around lucympowell angelaeagle']",0.26666666666666666,Labour,Angela Eagle,Stay in EU
2016-05-01,1,0,0,1,['one week doubt thank walkerworcester economics made sense'],0.0,Conservative,Anna Soubry,Stay in EU
2016-05-01,1,0,1,0,['previous tweet barrysheerman stated employ someone prove voted'],-0.16666666666666666,Labour Co-operative,Barry Sheerman,Stay in EU
2016-05-01,5,3,0,2,"['boris johnson plant campaign', 'door electoralcommuk today vote leave facts untrue', 'actually really good read benpbradshaw bumbling', 'want stay europe come help exeterlabour hq today tomorrow stall high street', 'bumbling boris day blunders south west excellent benpbradshaw']",0.62,Labour,Ben Bradshaw,Stay in EU
2016-05-01,1,1,0,0,['welcome balanced report niac eu pleased highlights many benefits ni gets eu membership'],0.6,Conservative,Ben Wallace,Stay in EU
2016-05-01,1,0,1,0,['nonsense bernardjenkin liamfoxmp commons today everybody wrong'],-0.5,Conservative,Bernard Jenkin,Stay in EU
